,no.,date,time,source,destination,protocol,length,tcp_retransmission,flags,source_port,destination_port,seq,win,len,mss,ack
0,1,2020-10-31,00:00:00,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,443,0,3072,0,1460,False
1,2,2020-10-31,00:02:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,143,0,3072,0,1460,False
2,3,2020-10-31,00:02:17,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3306,0,2048,0,1460,False
3,4,2020-10-31,00:02:22,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,199,0,3072,0,1460,False
4,5,2020-10-31,00:02:27,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,111,0,1024,0,1460,False
5,6,2020-10-31,00:02:31,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1025,0,4096,0,1460,False
6,7,2020-10-31,00:02:36,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,995,0,1024,0,1460,False
7,8,2020-10-31,00:02:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,587,0,1024,0,1460,False
8,9,2020-10-31,00:02:45,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,53,0,3072,0,1460,False
9,10,2020-10-31,00:02:49,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5900,0,1024,0,1460,False
10,11,2020-10-31,01:31:52,64.13.134.52,172.16.0.8,TCP,60,False,"[SYN, ACK]",53,36050,0,5840,0,1380,1
11,12,2020-10-31,01:33:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,21,0,4096,0,1460,False
12,13,2020-10-31,01:34:05,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,113,0,4096,0,1460,False
13,14,2020-10-31,03:02:38,64.13.134.52,172.16.0.8,TCP,60,False,"[RST, ACK]",113,36050,1,0,0,False,1
14,15,2020-10-31,03:05:45,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,80,0,3072,0,1460,False
15,16,2020-10-31,03:05:52,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,139,0,1024,0,1460,False
16,17,2020-10-31,04:33:33,64.13.134.52,172.16.0.8,TCP,60,False,"[SYN, ACK]",80,36050,0,5840,0,1380,1
17,18,2020-10-31,04:35:47,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3389,0,3072,0,1460,False
18,19,2020-10-31,04:35:53,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,23,0,2048,0,1460,False
19,20,2020-11-01,04:52:08,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,23,0,2048,0,1460,False
20,21,2020-11-01,04:52:16,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3389,0,2048,0,1460,False
21,22,2020-11-01,04:52:22,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,139,0,4096,0,1460,False
22,23,2020-11-01,04:52:28,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,21,0,1024,0,1460,False
23,24,2020-11-01,04:52:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5900,0,3072,0,1460,False
24,25,2020-11-01,04:52:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,587,0,4096,0,1460,False
25,26,2020-11-01,04:52:46,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,995,0,2048,0,1460,False
26,27,2020-11-01,04:52:52,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1025,0,3072,0,1460,False
27,28,2020-11-01,04:52:57,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,111,0,4096,0,1460,False
28,29,2020-11-01,04:53:03,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,199,0,3072,0,1460,False
29,30,2020-11-01,04:53:09,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3306,0,1024,0,1460,False
30,31,2020-11-01,04:53:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,143,0,4096,0,1460,False
31,32,2020-11-01,04:53:21,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,443,0,2048,0,1460,False
32,33,2020-11-01,09:40:02,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1723,0,4096,0,1460,False
33,34,2020-11-01,09:40:09,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,993,0,4096,0,1460,False
34,35,2020-11-01,09:40:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,110,0,4096,0,1460,False
35,36,2020-11-01,09:40:21,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8080,0,4096,0,1460,False
36,37,2020-11-01,09:40:26,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1720,0,4096,0,1460,False
37,38,2020-11-01,09:40:32,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,25,0,3072,0,1460,False
38,39,2020-11-01,09:40:38,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,445,0,2048,0,1460,False
39,40,2020-11-01,09:40:44,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,256,0,2048,0,1460,False
40,41,2020-11-01,09:40:49,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,554,0,2048,0,1460,False
41,42,2020-11-01,09:40:55,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,135,0,4096,0,1460,False
42,43,2020-11-01,09:41:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,22,0,1024,0,1460,False
43,44,2020-11-01,09:41:07,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8888,0,4096,0,1460,False
44,45,2020-11-01,09:41:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,548,0,3072,0,1460,False
45,46,2020-11-01,11:10:33,64.13.134.52,172.16.0.8,TCP,60,False,"[SYN, ACK]",22,36050,0,5840,0,1380,1
46,47,2020-11-01,11:10:53,64.13.134.52,172.16.0.8,TCP,60,False,"[RST, ACK]",25,36050,1,0,0,False,1
47,48,2020-11-01,11:13:36,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1056,0,1024,0,1460,False
48,49,2020-11-01,11:13:42,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,10629,0,4096,0,1460,False
49,50,2020-11-01,11:13:47,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2605,0,1024,0,1460,False
50,51,2020-11-01,11:13:53,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,10621,0,1024,0,1460,False
51,52,2020-11-01,11:13:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,990,0,4096,0,1460,False
52,53,2020-11-01,11:14:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5414,0,4096,0,1460,False
